CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Svish,2020,Gurugram,"Ishan, Jaideep Mahajan",Nueva,,Gurugram,Consumer Goods,D2C personal hygiene startup,400000.0,Seed
Progcap,2016,New Delhi,"Pallavi Shrivastava, Himanshu Chandra",Tiger Global,,New Delhi,FinTech,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",30000000.0,Series C
D’Moksha Homes,2020,Mumbai,"Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",,Mumbai,Textiles,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.",570000.0,Seed
ANS Commerce,2017,Gurugram,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",,Gurugram,E-commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,2200000.0,Pre-series A
GramCover,2016,Noida,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",,Noida,Insurance,GramCover is a tech-enabled insurance marketplace for rural India.,7000000.0,Series A
Chalo,2014,Mumbai,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",,Mumbai,Mobility,India’s #1 bus transport technology company.,40000000.0,Series C
Sunstone Eduversity,2011,Gurugram,"Ashish Munjal, Piyush Nangru",WestBridge Capital,,Gurugram,EdTech,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,28000000.0,Series B
Ozonetel,2007,Hyderabad,"CSN Murthy, Atul Sharma",Stakeboat Capital,,Hyderabad,Telecommunications,Ozonetel is leading Cloud Telephony solution provider.,5000000.0,Series A
CoinSwitch Kuber,2017,Bangalore,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",,Bangalore,Crypto,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.",260000000.0,Series C
Pazcare,2020,Bangalore,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",,Bangalore,Insurance,Paz Care is India's leading Employee Benefits & Health insurance platform,3500000.0,Seed
kWh Bikes,2020,Bangalore,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",,Bangalore,Automotive,Building India’s strongest and smartest electric 2 wheelers,2000000.0,Seed
Twin Health,2018,Chennai,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",,Chennai,"Health, Wellness & Fitness",Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,140000000.0,Series C
Trica,2021,Mumbai,Nimesh Kampani,LetsVenture,,Mumbai,Equity Management,Powering private markets - A technology platform for startups and investors.,3000000.0,Seed
Rebel Foods,2011,Mumbai,"Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,,Mumbai,Cloud kitchen,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.",175000000.0,Series F
ProfitWheel,2020,Mumbai,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",,Mumbai,Marketing & Advertising,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,3000000.0,Seed
Ishitva,2018,Ahmedabad,Jitesh Dadlani,Inflection Point Ventures,,Ahmedabad,Computer Software,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",1000000.0,Pre-series A
