funding_year,company_name,founded_year,headquarters_city,headquarters_state,industry,about_company,founders,investor,amount_usd,funding_round
2018,Cube,,Mumbai,Maharashtra,"Banking, Financial Services, FinTech",Cube is consumer banking focused fintech company.,,,1680000.0,Series A
2018,Cyclops Medtech,,Bangalore,Karnataka,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,,,1000000.0,Seed
2018,DRIVEU,,Bangalore,Karnataka,"Rental, Taxi Service, Travel",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,,,840000.0,Venture - Series Unknown
2018,Daaki,,Bangalore,Karnataka,Health Care,Sports Nutrition startup,,,,Angel
2018,DailyNinja,,Bangalore,Karnataka,"Apps, Mobile, Mobile Apps, Software","Daily Ninja, a mobile app that delivers daily needs on a subscription model",,,,Series A
2018,Dailyhunt,,Bangalore,Karnataka,"Information Technology, Mobile, News, Operating Systems, Social Media, Social News",NewsHunt is a Bangalore based eBooks company.,,,6000000.0,Series E
2018,Dainik Jagran,,Kanpur,Uttar Pradesh,"Media and Entertainment, News, Outdoors",Dainik Jagran is a media and communications group.,,,480000.0,Seed
2018,DataTrained,,Bangalore,Karnataka,"EdTech, Education","DataTrained is a educational platform, which operates an ed-tech startup on data science",,,1440000.0,Seed
2018,Dee Dee Labs,,Pune,Maharashtra,"Embedded Systems, Health Care, Medical, Product Research",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,,,,Seed
2018,Deftouch,,Bangalore,Karnataka,â,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,,,,Seed
2018,Design Cafe,,Bangalore,Karnataka,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,,24000000.0,Series B
2018,Detect Technologies,,Chennai,Tamil Nadu,"Artificial Intelligence, Energy, Oil and Gas",Completely automated remote control system.,,,3300000.0,Series A
2018,DheeYantra Research Labs,,Bangalore,Karnataka,Artificial Intelligence,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",,,,Seed
2018,DigiConnectt Technologys,,Bangalore,Karnataka,"Information Services, Information Technology",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,,,125000.0,Seed
2018,Disprz,,Chennai,Tamil Nadu,"E-Learning, Education","Disprz is a one-of-its-kind âknowledge-techâ start-up that strives to make people knowledgeable, productive and smarter at what they do.",,,400000.0,Debt Financing
2018,DocPrime,,Haryana,Haryana,"Health Care, Health Insurance",DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,,,50000000.0,Funding Round
2018,Doodhwala,,Bangalore,Karnataka,"Food Delivery, Organic, Organic Food",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,,,2200000.0,Seed
2018,Doubtnut,,Gurugram,Haryana,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Gurgaon based E-learning platform.,,,420000.0,Seed
2018,Doxper,,Mumbai,Maharashtra,"Health Care, Hospital",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,,,864000.0,Seed
2018,Dream11,,Mumbai,Maharashtra,"Fantasy Sports, Mobile, Sports","Dream11 is Indiaâs Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",,,100000000.0,Series D
