CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
OneAssist,2018,2018,True,Mumbai,"Financial Services, SaaS, Security",OneAssist is a protection & assistance services platform.,Unknown,Unknown,2400000.0,Debt Financing
Satin Creditcare Network Limited (SCNL),2018,2018,True,New Delhi,"Banking, Finance, Financial Services, Non Profit",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,Unknown,Unknown,30000000.0,Post-IPO Debt
APAC Financial Services,2018,2018,True,Mumbai,"Finance, Financial Services",APAC Financial Services is a financial services platform.,Unknown,Unknown,30000000.0,Private Equity
Moglix,2018,2018,True,Noida,"B2B, E-Commerce, Mobile","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",Unknown,Unknown,23000000.0,Series C
MadGuy Labs,2018,2018,True,Hyderabad,E-Learning,MadGuy Labs is a Online Test-prep Platform.,Unknown,Unknown,150000.0,Venture - Series Unknown
Shop101,2018,2018,True,Mumbai,"Apps, E-Commerce, Internet",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,Unknown,Unknown,11000000.0,Series B
FeedMyPockets,2018,2018,True,Bangalore City,"Advertising, Human Resources, Marketing",On Demand Staffing Platform,Unknown,Unknown,528000.0,Seed
Housejoy,2018,2018,True,Bengaluru,"Beauty, Fitness, Home Services, Internet",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Unknown,Unknown,3240000.0,Series B
FoodBuddy,2018,2018,True,Belgaum,"Food Delivery, Online Portals, Restaurants","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",Unknown,Unknown,720000.0,Seed
Ninjacart,2018,2018,True,Bengaluru,"AgTech, B2B, Supply Chain Management",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Unknown,Unknown,30000000.0,Series B
BYJU’S,2018,2018,True,Bengaluru,"EdTech, Education, Higher Education, Secondary Education",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,Unknown,Unknown,540000000.0,Private Equity
Wakefit,2018,2018,True,Bengaluru,"Manufacturing, Retail",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,Unknown,Unknown,7800000.0,Venture - Series Unknown
Hero Electric,2018,2018,True,New Delhi,Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",Unknown,Unknown,19200000.0,Venture - Series Unknown
PerkFinance,2018,2018,True,Bengaluru,"Consumer Lending, FinTech",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,Unknown,Unknown,900000.0,Seed
Roposo,2018,2018,True,Gurugram,"Internet, Social Network, TV",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,Unknown,Unknown,10000000.0,Series C
Wow Venue,2018,2018,True,Mumbai,Events,Wow Venue is an online platform.,Unknown,Unknown,1500000.0,Venture - Series Unknown
OTO Capital,2018,2018,True,Mumbai,Automotive,OTO Capital is a platform that allows you to own a car faster than ever.,Unknown,Unknown,600000.0,Seed
Boodmo,2018,2018,True,Gurugram,"Automotive, Retail",boodmo.com - large online marketplace for auto parts in India.,Unknown,Unknown,840000.0,Seed
MyNewCar.in,2018,2018,True,Gurugram,"Automotive, E-Commerce",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,Unknown,Unknown,1000000.0,Venture - Series Unknown
HalaPlay Technologies,2018,2018,True,Bengaluru,"Digital Entertainment, Fantasy Sports, Sports",A daily fantasy sports platform.,Unknown,Unknown,5000000.0,Series A
PlanetSpark,2018,2018,True,Gurugram,"E-Learning, EdTech, Education",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,Unknown,Unknown,192000.0,Seed
WheelsEMI,2018,2018,True,Pune,—,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",Unknown,Unknown,14000000.0,Series B
Forum for Innovation Incubation Research and Entrepreneurship,2018,2018,True,Margão,"Funding Platform, Incubators, Non Profit","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",Unknown,Unknown,1230000.0,Grant
OYO,2018,2018,True,Gurugram,"Hospitality, Hotel, Leisure, Travel",OYO is an Indian hospitality startup that operates a network of budget hotels.,Unknown,Unknown,100000000.0,Series E
Quikr,2018,2018,True,Bengaluru,"Classifieds, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",Unknown,Unknown,6600000.0,Debt Financing
LearnApp,2018,2018,True,Noida,"Banking, E-Learning, Trading Platform","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",Unknown,Unknown,240000.0,Seed
Shopkirana,2018,2018,True,Indore,"E-Commerce, Mobile, Retail",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,Unknown,Unknown,2000000.0,Venture - Series Unknown
Articbot,2018,2018,True,Kannur,"Artificial Intelligence, Information Technology",Articbot is a conversational AI platform for automated customer support and lead generation,Unknown,Unknown,14400.0,Grant
BuildSupply,2018,2018,True,Gurugram,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",India’s most advanced ERP system for the real estate,Unknown,Unknown,3000000.0,Series A
Fusion Microfinance,2018,2018,True,New Delhi,"Banking, Finance, Financial Services",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,Unknown,Unknown,62400000.0,Series E
Guiddoo World,2018,2018,True,Mumbai,"Audio, Mobile, Tourism, Travel",We build In-Destination Experiences!,Unknown,Unknown,800000.0,Seed
ION Energy,2018,2018,True,Mumbai,"Energy, Energy Storage, Infrastructure",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Unknown,Unknown,1041000.0,Venture - Series Unknown
UnoTag,2018,2018,True,Bengaluru,Artificial Intelligence,SaaS to verify counterfeit,Unknown,Unknown,100000.0,Pre-Seed
CivilCops,2018,2018,True,Gurugram,"Government, Information Technology, Software",Gov-Tech,Unknown,Unknown,100000.0,Pre-Seed
Classworks India,2018,2018,True,Chennai,"Education, Information Technology, Internet, Mobile, Software","Saas, Web App, Mobile App, School Education",Unknown,Unknown,1200.0,Undisclosed
artbandhu,2018,2018,True,Bengaluru,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Ai platform for Art and Creative Community,Unknown,Unknown,15000.0,Pre-Seed
