Founded_scaled,RoundSeries_scaled,Head Quarter,Industry In,AboutCompany,Amount in ($)
-0.6913904444435626,-1.5025332983782456,35,128,Focusses on creating a transit led micro-payments ecosystem,1000000.0
0.11333737205766989,-1.5025332983782456,12,184,Provides interior designing solutions,1000000.0
0.6498225830584915,-1.5025332983782456,4,141,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",6700000.0
0.9180651885589024,-1.0724943155437234,35,128,Digital finance NBFC that provides affordable education loans,5000000.0
-0.6913904444435626,0.217622632959843,35,0,Platform helps to automate and analyse financial data,220000.0
0.6498225830584915,0.217622632959843,4,208,Short video platform,1300000.0
-2.0326034719456167,1.9377785642979315,35,139,Cloud kitchen platform,26500000.0
0.6498225830584915,-0.6424553327092013,4,267,Data pipeline startup,8000000.0
-2.3008460774460278,0.217622632959843,1,141,Cloud kitchen startup,2000000.0
-0.6913904444435626,0.217622632959843,35,108,It provides AI-based after school learning app for K12,46761000.0
-0.6913904444435626,0.217622632959843,4,128,Marketplace for stock market investors and advisors,175000.0
0.3815799775580807,1.9377785642979315,,,,
0.6498225830584915,-0.6424553327092013,4,20,Electric scooter manufacturer,11241000.0
0.6498225830584915,0.6476616157943651,4,15,It is building an asset-light farm by partnering with small farms on a profit-sharing model,2500000.0
-0.15490523344274093,2.3678175471324536,23,121,"mirrAR, helps jewellers sell jewellery with no physical inventory",467000.0
0.9180651885589024,-0.6424553327092013,4,108,Onine learning platform,100000000.0
-0.15490523344274093,-1.5025332983782456,35,55,Online retailer that offers a range of on-the-go hot snacking and meals,1000000.0
0.3815799775580807,-0.6424553327092013,,,,
-1.2278756554443842,0.217622632959843,25,104,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,4000000.0
-1.2278756554443842,1.0777005986288872,45,267,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,971000.0
-1.4961182609447952,1.0777005986288872,4,108,It helps students to learn math online,2888000.0
-0.4231478389431518,1.5077395814634094,23,86,"It is building AI-powered infrastructure to analyse air quality, pollution etc",1200000.0
-0.15490523344274093,0.217622632959843,4,128,Automated API-based platform that enables financial integrations.,15500000.0
0.3815799775580807,2.3678175471324536,4,57,It offers affordable housing apartments to young professionals and students,56000000.0
-1.4961182609447952,-1.5025332983782456,,,,
-0.4231478389431518,1.0777005986288872,23,128,A finance lender to SMEs,16753000.0
0.6498225830584915,0.217622632959843,15,0,Focuses on building computer vision products for physical asset inspections,600000.0
-0.15490523344274093,-1.5025332983782456,,,,
0.3815799775580807,-0.21241634987467914,12,108,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,7200000.0
0.3815799775580807,-0.21241634987467914,4,206,B2B marketplace that connects manufacturing companies for industrial equipements,21000000.0
-0.15490523344274093,2.3678175471324536,25,128,Offers enterprise private platform for chit fund firms,650000.0
0.6498225830584915,-0.21241634987467914,37,104,The parent company of women's fashion brands FabAlley and Indya,2743000.0
0.9180651885589024,0.217622632959843,4,128,A financial platform for youngsters,6082000.0
1.1863077940593132,-0.6424553327092013,23,128,A finance lender to SMEs,27700000.0
0.11333737205766989,-1.5025332983782456,40,108,It is a doubt-solving app for students from Class 6 to 12,2000000.0
0.9180651885589024,-0.21241634987467914,35,128,A platform that caters the need of customers in rural areas,3937000.0
-0.4231478389431518,1.5077395814634094,,,,
0.9180651885589024,-0.6424553327092013,4,158,It provides clinical software for doctors,6000000.0
1.1863077940593132,0.217622632959843,23,214,Intercity bus service startup,3300000.0
0.11333737205766989,0.217622632959843,4,144,An online poker playing platform,1750000.0
0.9180651885589024,0.217622632959843,,,,
-0.15490523344274093,-0.21241634987467914,,,,
0.6498225830584915,-0.6424553327092013,35,239,A digital wealth management services,500000.0
0.3815799775580807,0.217622632959843,4,158,It provdes IVF treatments,5000000.0
-1.4961182609447952,2.3678175471324536,15,141,Quality food solution,2000000.0
0.9180651885589024,-0.6424553327092013,,,,
0.9180651885589024,-0.6424553327092013,9,15,"Provides technology backed, deep integration services to egg farmers",329000.0
0.9180651885589024,-0.6424553327092013,23,265,Standardisation and Quality control of fruits & vegetables,5900000.0
-1.764360866445206,2.3678175471324536,23,239,"Provides procurement, outsourcing services & contract management software",44000000.0
0.9180651885589024,-0.6424553327092013,4,239,"Offers a free invoicing, payments and expense management system",1000000.0
-0.4231478389431518,0.217622632959843,4,0,It offers Multiligual AI platform,5100000.0
-0.6913904444435626,1.0777005986288872,15,144,Live sports engagement platform,1700000.0
-0.15490523344274093,0.217622632959843,4,208,A digital platform that connects readers and writers in various languages,9400000.0
0.6498225830584915,-0.6424553327092013,15,108,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",8200000.0
0.9180651885589024,-0.21241634987467914,15,267,Platform for rooftop solar energy solutions,4257000.0
0.6498225830584915,-0.21241634987467914,25,85,It helps business gain insights from its community on Facebook groups,4000000.0
0.11333737205766989,0.6476616157943651,4,39,Craft beer maker,20000000.0
0.6498225830584915,-0.6424553327092013,,,,
-0.15490523344274093,2.3678175471324536,4,194,Provides technology based solutions to SMEs in logistics,2004000.0
0.6498225830584915,-0.6424553327092013,20,188,It is a wireless cloud-based access control system,248000.0
0.9180651885589024,-0.6424553327092013,,,,
-0.4231478389431518,-0.21241634987467914,12,128,Online marketplace that gives customers instant customised offers on loans and credit cards,3800000.0
