CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Pickright Technologies,2019,2020,False,Bengaluru,Fintech,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Seed Round
Vegrow,2020,2020,False,Bengaluru,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",2500000.0,Seed Round
StyleDotMe,2014,2020,False,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,467000.0,Pre series A
Frontier Markets,2011,2020,False,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Pre series A
Aye Finance,2014,2020,False,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,16753000.0,Series E
Flinto,2013,2020,False,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000.0,Pre series B
Jai Kisan,2017,2020,False,Mumbai,Fintech,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000.0,Pre series A
LendingKart,2014,2020,False,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Series D
Rooter,2016,2020,False,New Delhi,Gaming,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Pre series A
Convosight,2019,2020,False,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",4000000.0,Pre series A
MedGenome,2013,2020,False,Bengaluru,Healthtech,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,55000000.0,Series D
CoreStack,2016,2020,False,Chennai,Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,8500000.0,Series A
Vivriti Capital,2017,2020,False,Chennai,Fintech,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,50000000.0,Series B
ZunRoof,2016,2020,False,Gurugram,Cleantech,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Series A
